ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple
[[0.00114906]],0.032284286,,
[[1.2107166e-05]],0.03001095,,
[[3.6334957e-05]],0.036317635,,
[[4.0676172e-05]],0.035363864,,
[[9.5595286e-05]],0.038625967,,
[[0.00039593]],0.037808336,,
[[0.00023993]],0.036049604,,
[[2.6027892e-05]],0.047330108,,
[[0.0001464]],0.030189147,,
[[8.198697e-05]],0.027353406,,
,,0.8,0.88
[[0.00083362]],0.03373287,,
[[0.00029579]],0.030535577,,
[[9.0473695e-05]],0.03176743,,
[[7.712388e-05]],0.031075813,,
[[4.615422e-05]],0.03294896,,
[[0.00067506]],0.03606654,,
[[3.2913653e-05]],0.03806092,,
[[0.00028688]],0.03461464,,
[[2.2961256e-05]],0.024769245,,
[[0.00026484]],0.03705598,,
[[3.496241e-05]],0.034282885,,
[[4.382453e-06]],0.026981175,,
[[0.0001456]],0.032653634,,
[[0.00160724]],0.03417958,,
[[2.1022752e-05]],0.028764565,,
[[0.00177024]],0.052714862,,
,,0.88,0.84
[[0.00013501]],0.03643393,,
[[8.208456e-05]],0.033270042,,
[[4.0075167e-05]],0.027140813,,
[[0.00076372]],0.028511083,,
[[0.00014455]],0.032066885,,
[[1.8270188e-05]],0.03865791,,
[[0.00037128]],0.031606004,,
[[0.00011]],0.032101344,,
[[0.00196123]],0.030582745,,
[[1.91397e-05]],0.02994088,,
[[4.1188428e-06]],0.03643986,,
[[0.00029572]],0.027163794,,
[[0.00055755]],0.031079778,,
[[1.7293776e-05]],0.03862445,,
[[0.0013454]],0.03211324,,
[[3.2697244e-05]],0.0303834,,
,,0.9,0.78
[[5.8140005e-05]],0.034454558,,
[[8.4531304e-05]],0.030000264,,
[[5.9621158e-05]],0.03255813,,
[[2.5837915e-05]],0.03345598,,
[[9.858404e-05]],0.03403692,,
[[0.00148672]],0.033252403,,
[[1.0342061e-05]],0.041425824,,
[[0.0002895]],0.03640075,,
[[0.0001628]],0.033130553,,
[[0.00022634]],0.030668037,,
[[0.00040757]],0.035007372,,
[[3.496785e-05]],0.03338711,,
[[4.4374716e-05]],0.031393245,,
[[0.00074344]],0.03599106,,
[[0.0005676]],0.038464963,,
[[1.9662588e-05]],0.03800898,,
,,0.7,0.6
[[0.00076205]],0.031165605,,
[[0.00014622]],0.028635368,,
[[2.1441772e-05]],0.028199,,
[[0.00015936]],0.02745063,,
[[0.00268437]],0.02970496,,
[[2.2281429e-05]],0.034938823,,
[[0.0002592]],0.033922505,,
[[2.5924573e-05]],0.027612953,,
[[0.00076128]],0.041397765,,
[[4.2453677e-05]],0.028632281,,
[[7.696309e-05]],0.03335732,,
[[0.00013683]],0.032872595,,
[[0.00013696]],0.028983153,,
[[3.0844644e-06]],0.029337125,,
[[0.00043091]],0.035449285,,
[[7.171662e-05]],0.032748822,,
,,0.84,0.8
[[3.2286465e-05]],0.028783942,,
[[0.0005006]],0.029630639,,
[[0.00014162]],0.03089426,,
[[0.00077408]],0.028159413,,
[[0.00037225]],0.033183333,,
[[7.7475815e-05]],0.028546058,,
[[0.00033744]],0.031497136,,
[[0.00085866]],0.03641118,,
[[7.544461e-05]],0.030192299,,
[[3.7418125e-05]],0.047944155,,
[[0.00207323]],0.036728002,,
[[2.382922e-05]],0.031932585,,
[[3.4542674e-05]],0.033216134,,
[[0.00013434]],0.03278096,,
[[0.00021116]],0.037688196,,
[[0.00107177]],0.036122624,,
,,0.7,0.82
[[0.00120504]],0.032772787,,
